station_code,station,GTFS_stop_id,C/A,line_name,ct2010,ntaname,ctlabel,geometry,lat,long
A002R051,59 ST,R11,A002,NQR456W,011402,Upper East Side-Carnegie Hill,114.02,POINT (-73.967258 40.76266),40.76266,-73.967258
A006R079,5 AV/59 ST,R13,A006,NQRW,014300,park-cemetery-etc-Manhattan,143,POINT (-73.973347 40.764811),40.764811,-73.973347
A007R079,5 AV/59 ST,R13,A007,NQRW,014300,park-cemetery-etc-Manhattan,143,POINT (-73.973347 40.764811),40.764811,-73.973347
A010R080,57 ST-7 AV,R14,A010,NQRW,013700,Midtown-Midtown South,137,POINT (-73.98065799999999 40.764664),40.764664,-73.98065799999999
A011R080,57 ST-7 AV,R14,A011,NQRW,013700,Midtown-Midtown South,137,POINT (-73.98065799999999 40.764664),40.764664,-73.98065799999999
A013R081,49 ST,R15,A013,NQRW,012500,Midtown-Midtown South,125,POINT (-73.984139 40.759901),40.759901,-73.984139
A014R081,49 ST,R15,A014,NQRW,012500,Midtown-Midtown South,125,POINT (-73.984139 40.759901),40.759901,-73.984139
A015R081,49 ST,R15,A015,NQRW,012500,Midtown-Midtown South,125,POINT (-73.984139 40.759901),40.759901,-73.984139
A016R081,49 ST,R15,A016,NQRW,012500,Midtown-Midtown South,125,POINT (-73.984139 40.759901),40.759901,-73.984139
A021R032,TIMES SQ-42 ST,R16,A021,ACENQRS1237W,011300,Midtown-Midtown South,113,POINT (-73.986754 40.754672),40.754672,-73.986754
A022R022,34 ST-HERALD SQ,D17,A022,BDFMNQRW,010100,Midtown-Midtown South,101,POINT (-73.98782299999999 40.749719),40.749719,-73.98782299999999
A025R023,34 ST-HERALD SQ,D17,A025,BDFMNQRW,010100,Midtown-Midtown South,101,POINT (-73.98782299999999 40.749719),40.749719,-73.98782299999999
A027R082,28 ST,R18,A027,NRW,007600,Midtown-Midtown South,76,POINT (-73.988691 40.745494),40.745494,-73.988691
A029R082,28 ST,R18,A029,NRW,007600,Midtown-Midtown South,76,POINT (-73.988691 40.745494),40.745494,-73.988691
A030R083,23 ST,R19,A030,NRW,005600,Hudson Yards-Chelsea-Flatiron-Union Square,56,POINT (-73.98934399999999 40.741303),40.741303,-73.98934399999999
A031R083,23 ST,R19,A031,NRW,005600,Hudson Yards-Chelsea-Flatiron-Union Square,56,POINT (-73.98934399999999 40.741303),40.741303,-73.98934399999999
A033R170,14 ST-UNION SQ,L03,A033,LNQR456W,006100,West Village,61,POINT (-73.99073 40.734789),40.734789,-73.99073
A034R170,14 ST-UNION SQ,L03,A034,LNQR456W,006100,West Village,61,POINT (-73.99073 40.734789),40.734789,-73.99073
A035R170,14 ST-UNION SQ,L03,A035,LNQR456W,006100,West Village,61,POINT (-73.99073 40.734789),40.734789,-73.99073
A037R170,14 ST-UNION SQ,L03,A037,LNQR456W,006100,West Village,61,POINT (-73.99073 40.734789),40.734789,-73.99073
A038R085,8 ST-NYU,R21,A038,NRW,005700,West Village,57,POINT (-73.99262900000001 40.730328),40.730328,-73.99262900000001
A039R085,8 ST-NYU,R21,A039,NRW,005700,West Village,57,POINT (-73.99262900000001 40.730328),40.730328,-73.99262900000001
A041R086,PRINCE ST,R22,A041,NRW,004300,SoHo-TriBeCa-Civic Center-Little Italy,43,POINT (-73.997702 40.724329),40.724329,-73.997702
A042R086,PRINCE ST,R22,A042,NRW,004300,SoHo-TriBeCa-Civic Center-Little Italy,43,POINT (-73.997702 40.724329),40.724329,-73.997702
A043R462,CANAL ST,Q01,A043,JNQRZ6W,004500,SoHo-TriBeCa-Civic Center-Little Italy,45,POINT (-74.00046 40.718383),40.718383,-74.00046
A046R463,CANAL ST,Q01,A046,JNQRZ6W,004500,SoHo-TriBeCa-Civic Center-Little Italy,45,POINT (-74.00046 40.718383),40.718383,-74.00046
A047R087,CITY HALL,R24,A047,NRW,003100,SoHo-TriBeCa-Civic Center-Little Italy,31,POINT (-74.006978 40.713282),40.713282,-74.006978
A049R088,CORTLANDT ST,R25,A049,RNW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01102900000001 40.710668),40.710668,-74.01102900000001
A050R088,CORTLANDT ST,R25,A050,RNW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01102900000001 40.710668),40.710668,-74.01102900000001
A052R088,CORTLANDT ST,R25,A052,RNW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01102900000001 40.710668),40.710668,-74.01102900000001
A053R088,CORTLANDT ST,R25,A053,RNW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01102900000001 40.710668),40.710668,-74.01102900000001
A054R227,RECTOR ST,R26,A054,NRW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01334200000001 40.70722),40.70722,-74.01334200000001
A055R227,RECTOR ST,R26,A055,NRW,001300,Battery Park City-Lower Manhattan,13,POINT (-74.01334200000001 40.70722),40.70722,-74.01334200000001
A058R001,WHITEHALL S-FRY,R27,A058,R1W,000900,Battery Park City-Lower Manhattan,9,POINT (-74.01299399999999 40.703087),40.703087,-74.01299399999999
A060R001,WHITEHALL S-FRY,R27,A060,R1W,000900,Battery Park City-Lower Manhattan,9,POINT (-74.01299399999999 40.703087),40.703087,-74.01299399999999
A061R142,DELANCEY/ESSEX,F15,A061,FJMZ,001800,Chinatown,18,POINT (-73.988114 40.718611),40.718610999999996,-73.988114
A064R311,BOWERY,M19,A064,JZ,001800,Chinatown,18,POINT (-73.993915 40.72028),40.720279999999995,-73.993915
A066R118,CANAL ST,Q01,A066,JNQRZ6W,004500,SoHo-TriBeCa-Civic Center-Little Italy,45,POINT (-74.00046 40.718383),40.718383,-74.00046
A069R044,CHAMBERS ST,M21,A069,JZ456,002900,Chinatown,29,POINT (-74.003401 40.713243),40.713243,-74.003401
A071R044,CHAMBERS ST,M21,A071,JZ456,002900,Chinatown,29,POINT (-74.003401 40.713243),40.713243,-74.003401
A077R028,FULTON ST,A38,A077,ACJZ2345,001501,Battery Park City-Lower Manhattan,15.01,POINT (-74.00769100000001 40.71019699999999),40.710196999999994,-74.00769100000001
A081R028,FULTON ST,A38,A081,ACJZ2345,001501,Battery Park City-Lower Manhattan,15.01,POINT (-74.00769100000001 40.71019699999999),40.710196999999994,-74.00769100000001
A082R028,FULTON ST,A38,A082,ACJZ2345,001501,Battery Park City-Lower Manhattan,15.01,POINT (-74.00769100000001 40.71019699999999),40.710196999999994,-74.00769100000001
A083R125,BROAD ST,M23,A083,JZ,000700,Battery Park City-Lower Manhattan,7,POINT (-74.01105600000001 40.706476),40.706476,-74.01105600000001
A084R125,BROAD ST,M23,A084,JZ,000700,Battery Park City-Lower Manhattan,7,POINT (-74.01105600000001 40.706476),40.706476,-74.01105600000001
A085R125,BROAD ST,M23,A085,JZ,000700,Battery Park City-Lower Manhattan,7,POINT (-74.01105600000001 40.706476),40.706476,-74.01105600000001
B004R171,7 AV,D25,B004,BQ,016100,Prospect Heights,161,POINT (-73.97236700000001 40.67705),40.67705,-73.972367
B009R411,PARK PLACE,S03,B009,S,030500,Crown Heights North,305,POINT (-73.957624 40.674772),40.674772,-73.957624
B010R412,BOTANIC GARDEN,S04,B010,S2345,021300,Crown Heights South,213,POINT (-73.959245 40.670343),40.670343,-73.959245
B012R196,PROSPECT PARK,D26,B012,BQS,032700,Prospect Lefferts Gardens-Wingate,327,POINT (-73.96224599999999 40.661614),40.661614,-73.962246
B013R196,PROSPECT PARK,D26,B013,BQS,032700,Prospect Lefferts Gardens-Wingate,327,POINT (-73.96224599999999 40.661614),40.661614,-73.962246
B014R148,PARKSIDE AV,D27,B014,BQ,079802,Prospect Lefferts Gardens-Wingate,798.02,POINT (-73.961495 40.655292),40.655291999999996,-73.961495
B015R098,CHURCH AV,D28,B015,BQ,050600,Flatbush,506,POINT (-73.962982 40.650527),40.650527000000004,-73.962982
B016R098,CHURCH AV,D28,B016,BQ,050600,Flatbush,506,POINT (-73.962982 40.650527),40.650527000000004,-73.962982
B017R262,BEVERLEY ROAD,D29,B017,BQ,152200,Flatbush,1522,POINT (-73.96449200000001 40.644031),40.644031,-73.964492
B018R184,CORTELYOU RD,D30,B018,BQ,052000,Flatbush,520,POINT (-73.963891 40.640927),40.640927000000005,-73.963891
B019R149,NEWKIRK PLAZA,D31,B019,BQ,052000,Flatbush,520,POINT (-73.962793 40.635082),40.635082000000004,-73.962793
B020R263,AVENUE H,D32,B020,BQ,053200,Midwood,532,POINT (-73.96163900000001 40.62927),40.62927,-73.961639
B021R228,AVENUE J,D33,B021,BQ,053200,Midwood,532,POINT (-73.960803 40.625039),40.625039,-73.960803
B022R229,AVENUE M,D34,B022,BQ,076800,Midwood,768,POINT (-73.959399 40.617618),40.617618,-73.959399
B023R211,KINGS HWY,D35,B023,BQ,055200,Madison,552,POINT (-73.957734 40.60867),40.608670000000004,-73.957734
B024AR211,KINGS HWY,D35,B024A,BQ,055200,Madison,552,POINT (-73.957734 40.60867),40.608670000000004,-73.957734
B024R211,KINGS HWY,D35,B024,BQ,055200,Madison,552,POINT (-73.957734 40.60867),40.608670000000004,-73.957734
B025R150,AVENUE U,D37,B025,BQ,058000,Madison,580,POINT (-73.955929 40.5993),40.5993,-73.955929
B026R230,NECK RD,D38,B026,BQ,058600,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,586,POINT (-73.955161 40.595246),40.595246,-73.955161
B027R136,SHEEPSHEAD BAY,D39,B027,BQ,060600,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,606,POINT (-73.954155 40.586896),40.586896,-73.954155
B028R136,SHEEPSHEAD BAY,D39,B028,BQ,060600,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,606,POINT (-73.954155 40.586896),40.586896,-73.954155
B029R172,BRIGHTON BEACH,D40,B029,BQ,036002,Brighton Beach,360.02,POINT (-73.961376 40.577621),40.577621,-73.961376
B031R172,BRIGHTON BEACH,D40,B031,BQ,036002,Brighton Beach,360.02,POINT (-73.961376 40.577621),40.577621,-73.961376
B032R264,OCEAN PKWY,D41,B032,Q,036200,Brighton Beach,362,POINT (-73.968501 40.576312),40.576312,-73.968501
B034R264,OCEAN PKWY,D41,B034,Q,036200,Brighton Beach,362,POINT (-73.968501 40.576312),40.576312,-73.968501
C001R108,BOROUGH HALL,423,C001,R2345,000900,Brooklyn Heights-Cobble Hill,9,POINT (-73.990151 40.692404),40.692403999999996,-73.990151
C003R089,JAY ST-METROTEC,R29,C003,R,001100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,11,POINT (-73.98594200000001 40.69218),40.69218,-73.98594200000001
C004R089,JAY ST-METROTEC,R29,C004,R,001100,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,11,POINT (-73.98594200000001 40.69218),40.69218,-73.98594200000001
C008R099,DEKALB AV,R30,C008,BDNQR,003100,Fort Greene,31,POINT (-73.981824 40.690635),40.690635,-73.981824
C009R057,ATL AV-BARCLAY,D24,C009,BDNQR2345,003500,Fort Greene,35,POINT (-73.97689 40.68445999999999),40.684459999999994,-73.97689
C010R231,UNION ST,R32,C010,R,011900,Park Slope-Gowanus,119,POINT (-73.98311 40.677316),40.677316,-73.98311
C011R231,UNION ST,R32,C011,R,011900,Park Slope-Gowanus,119,POINT (-73.98311 40.677316),40.677316,-73.98311
C012R258,4AV-9 ST,R33,C012,DFGMNR,013700,Park Slope-Gowanus,137,POINT (-73.988302 40.67084699999999),40.670846999999995,-73.988302
C014R246,PROSPECT AV,R34,C014,R,014300,Park Slope-Gowanus,143,POINT (-73.99287199999999 40.665414),40.665414,-73.99287199999999
C015R246,PROSPECT AV,R34,C015,R,014300,Park Slope-Gowanus,143,POINT (-73.99287199999999 40.665414),40.665414,-73.99287199999999
C016R278,25 ST,R35,C016,R,010100,Sunset Park West,101,POINT (-73.998091 40.660397),40.660396999999996,-73.998091
C017R455,25 ST,R35,C017,R,010100,Sunset Park West,101,POINT (-73.998091 40.660397),40.660396999999996,-73.998091
C018R197,36 ST,R36,C018,DNR,008400,Sunset Park West,84,POINT (-74.00354899999999 40.655144),40.655144,-74.00354899999999
C019R232,45 ST,R39,C019,R,008000,Sunset Park West,80,POINT (-74.010006 40.648939),40.648939,-74.010006
C020R233,53 ST,R40,C020,R,007600,Sunset Park West,76,POINT (-74.014034 40.645069),40.645069,-74.014034
C021R212,59 ST,R41,C021,NRW,007400,Sunset Park West,74,POINT (-74.017881 40.641362),40.641362,-74.017881
C022R212,59 ST,R41,C022,NRW,007400,Sunset Park West,74,POINT (-74.017881 40.641362),40.641362,-74.017881
C023R213,BAY RIDGE AV,R42,C023,R,013000,Bay Ridge,130,POINT (-74.023377 40.634967),40.634966999999996,-74.023377
C024R214,77 ST,R43,C024,R,013600,Bay Ridge,136,POINT (-74.02551 40.629742),40.629742,-74.02551
C025R215,86 ST,R44,C025,R,006000,Bay Ridge,60,POINT (-74.028398 40.622687),40.622687,-74.028398
C026R215,86 ST,R44,C026,R,006000,Bay Ridge,60,POINT (-74.028398 40.622687),40.622687,-74.028398
C027R216,BAY RIDGE-95 ST,R45,C027,R,005400,Bay Ridge,54,POINT (-74.03087600000001 40.616622),40.616622,-74.030876
C028R216,BAY RIDGE-95 ST,R45,C028,R,005400,Bay Ridge,54,POINT (-74.03087600000001 40.616622),40.616622,-74.030876
D001R390,8 AV,N02,D001,N,011800,Sunset Park East,118,POINT (-74.011719 40.635064),40.635064,-74.011719
D002R390,8 AV,N02,D002,N,011800,Sunset Park East,118,POINT (-74.011719 40.635064),40.635064,-74.011719
D003R391,FT HAMILTON PKY,N03,D003,N,021400,Borough Park,214,POINT (-74.005351 40.631386),40.631386,-74.005351
D004R391,FT HAMILTON PKY,N03,D004,N,021400,Borough Park,214,POINT (-74.005351 40.631386),40.631386,-74.005351
D005R398,NEW UTRECHT AV,N04,D005,ND,025000,Bensonhurst West,250,POINT (-73.996353 40.624842),40.624842,-73.996353
D006R398,NEW UTRECHT AV,N04,D006,ND,025000,Bensonhurst West,250,POINT (-73.996353 40.624842),40.624842,-73.996353
D008R392,18 AV,N05,D008,N,024800,Bensonhurst West,248,POINT (-73.990414 40.620671),40.620671,-73.990414
D009R393,20 AV,N06,D009,N,025400,Bensonhurst West,254,POINT (-73.985026 40.61741),40.61741,-73.985026
D010R394,BAY PKWY,N07,D010,N,043200,Bensonhurst East,432,POINT (-73.981848 40.611815),40.611815,-73.981848
D011R394,BAY PKWY,N07,D011,N,043200,Bensonhurst East,432,POINT (-73.981848 40.611815),40.611815,-73.981848
D012R395,KINGS HWY,N08,D012,N,042600,Bensonhurst East,426,POINT (-73.98035300000001 40.60392299999999),40.603922999999995,-73.98035300000001
D015R396,AVENUE U,N09,D015,N,040000,Bensonhurst East,400,POINT (-73.97913699999999 40.597473),40.597473,-73.979137
D016R397,86 ST,N10,D016,N,038600,Gravesend,386,POINT (-73.97823000000001 40.592721),40.592721000000004,-73.97823000000001
E001R368,9 AV,B12,E001,D,011000,Sunset Park East,110,POINT (-73.99432400000001 40.646292),40.646291999999995,-73.994324
E003R369,FT HAMILTON PKY,B13,E003,D,011200,Sunset Park East,112,POINT (-73.994304 40.640914),40.640914,-73.994304
E004R234,50 ST,B14,E004,D,022000,Borough Park,220,POINT (-73.99479100000001 40.63626),40.63626,-73.994791
E005R247,55 ST,B15,E005,D,024000,Borough Park,240,POINT (-73.995476 40.631435),40.631434999999996,-73.995476
E009R370,71 ST,B17,E009,D,019000,Bensonhurst West,190,POINT (-73.998864 40.619589),40.619589000000005,-73.998864
E011R371,79 ST,B18,E011,D,018200,Bensonhurst West,182,POINT (-74.00060999999999 40.613501),40.613501,-74.00061
E012R372,18 AV,B19,E012,D,027800,Bensonhurst West,278,POINT (-74.00173599999999 40.607954),40.607954,-74.001736
E013R373,20 AV,B20,E013,D,028800,Bensonhurst West,288,POINT (-73.99816800000001 40.604556),40.604556,-73.998168
E014R374,BAY PKWY,B21,E014,D,029600,Bensonhurst West,296,POINT (-73.993728 40.601875),40.601875,-73.993728
E015R399,25 AV,B22,E015,D,030000,Bensonhurst East,300,POINT (-73.986829 40.597704),40.597704,-73.986829
E016R400,BAY 50 ST,B23,E016,D,030800,Gravesend,308,POINT (-73.98376500000001 40.588841),40.588840999999995,-73.983765
G001R151,CONEY IS-STILLW,D43,G001,DFNQ,035000,West Brighton,350,POINT (-73.98123299999999 40.577422),40.577422,-73.98123299999999
G009R151,CONEY IS-STILLW,D43,G009,DFNQ,035000,West Brighton,350,POINT (-73.98123299999999 40.577422),40.577422,-73.98123299999999
G011R312,W 8 ST-AQUARIUM,D42,G011,FQ,035400,West Brighton,354,POINT (-73.975939 40.576127),40.576127,-73.975939
G015R312,W 8 ST-AQUARIUM,D42,G015,FQ,035400,West Brighton,354,POINT (-73.975939 40.576127),40.576127,-73.975939
H001R175,8 AV,L01,H001,ACEL,008300,Hudson Yards-Chelsea-Flatiron-Union Square,83,POINT (-74.002578 40.739777),40.739777000000004,-74.002578
H003R163,6 AV,L02,H003,FLM123,006300,West Village,63,POINT (-73.996786 40.73733499999999),40.737334999999995,-73.996786
H005R330,3 AV,L05,H005,L,004800,Gramercy,48,POINT (-73.98612199999999 40.732849),40.732849,-73.986122
H006R330,3 AV,L05,H006,L,004800,Gramercy,48,POINT (-73.98612199999999 40.732849),40.732849,-73.986122
H007AR248,1 AV,L06,H007A,L,003400,East Village,34,POINT (-73.981628 40.730953),40.730953,-73.981628
H007R248,1 AV,L06,H007,L,003400,East Village,34,POINT (-73.981628 40.730953),40.730953,-73.981628
H008R248,1 AV,L06,H008,L,003400,East Village,34,POINT (-73.981628 40.730953),40.730953,-73.981628
H009R235,BEDFORD AV,L08,H009,L,055300,North Side-South Side,553,POINT (-73.956872 40.717304),40.717304,-73.956872
H012R268,LORIMER ST,L10,H012,LG,051300,North Side-South Side,513,POINT (-73.950275 40.714063),40.714063,-73.950275
H013R249,GRAHAM AV,L11,H013,L,049700,East Williamsburg,497,POINT (-73.944053 40.714565),40.714565,-73.944053
H014R249,GRAHAM AV,L11,H014,L,049700,East Williamsburg,497,POINT (-73.944053 40.714565),40.714565,-73.944053
H015R250,GRAND ST,L12,H015,L,049500,East Williamsburg,495,POINT (-73.94067 40.711926),40.711926,-73.94067
H016R250,GRAND ST,L12,H016,L,049500,East Williamsburg,495,POINT (-73.94067 40.711926),40.711926,-73.94067
H017R265,MONTROSE AV,L13,H017,L,049300,Bushwick South,493,POINT (-73.93985000000001 40.707739),40.707739000000004,-73.93985
H019R294,MORGAN AV,L14,H019,L,045300,Bushwick North,453,POINT (-73.93314699999999 40.706152),40.706152,-73.93314699999999
H022R279,JEFFERSON ST,L15,H022,L,044700,Bushwick North,447,POINT (-73.92291299999999 40.706607),40.706607,-73.922913
H023R236,DEKALB AV,L16,H023,L,044300,Bushwick North,443,POINT (-73.918425 40.703811),40.703811,-73.918425
H026R137,MYRTLE-WYCKOFF,L17,H026,LM,043900,Bushwick North,439,POINT (-73.911586 40.699814),40.699814,-73.911586
H027R137,MYRTLE-WYCKOFF,L17,H027,LM,043900,Bushwick North,439,POINT (-73.911586 40.699814),40.699814,-73.911586
H028R266,HALSEY ST,L19,H028,L,055500,Ridgewood,555,POINT (-73.904084 40.695602),40.695602,-73.904084
H030R266,HALSEY ST,L19,H030,L,055500,Ridgewood,555,POINT (-73.904084 40.695602),40.695602,-73.904084
H032R295,WILSON AV,L20,H032,L,040900,Bushwick North,409,POINT (-73.90404599999999 40.688764),40.688764,-73.904046
H033R313,BUSHWICK AV,L21,H033,L,040500,Bushwick South,405,POINT (-73.905249 40.682829),40.682829,-73.905249
H035R348,ATLANTIC AV,L24,H035,L,114400,East New York (Pennsylvania Ave),1144,POINT (-73.903097 40.675345),40.675345,-73.903097
H037R349,SUTTER AV,L25,H037,L,090800,Brownsville,908,POINT (-73.90197499999999 40.669367),40.669367,-73.901975
H038R350,LIVONIA AV,L26,H038,L,091000,Brownsville,910,POINT (-73.900571 40.664038),40.664038,-73.900571
H039R375,NEW LOTS,L27,H039,L,092000,Brownsville,920,POINT (-73.899232 40.65873300000001),40.658733000000005,-73.899232
H040R376,EAST 105 ST,L28,H040,L,109800,East New York,1098,POINT (-73.899485 40.650573),40.650573,-73.899485
H041R152,CANARSIE-ROCKAW,L29,H041,L,097400,Canarsie,974,POINT (-73.90185 40.646654),40.646654,-73.90185
J001R460,MARCY AV,M16,J001,JMZ,052900,Williamsburg,529,POINT (-73.957757 40.708359),40.708359,-73.957757
J002R460,MARCY AV,M16,J002,JMZ,052900,Williamsburg,529,POINT (-73.957757 40.708359),40.708359,-73.957757
J003R352,HEWES ST,M14,J003,JM,052900,Williamsburg,529,POINT (-73.95343100000001 40.70687),40.70687,-73.95343100000001
J005R353,LORIMER ST,M13,J005,JM,049100,East Williamsburg,491,POINT (-73.947408 40.703869),40.703869,-73.947408
J007R377,FLUSHING AV,M12,J007,JM,028501,Bushwick South,285.01,POINT (-73.941126 40.70026),40.70026,-73.941126
J009R378,MYRTLE AV,M11,J009,JMZ,028700,Stuyvesant Heights,287,POINT (-73.93565699999999 40.697207),40.697207,-73.93565699999999
J012R379,KOSCIUSZKO ST,J31,J012,J,039300,Bushwick South,393,POINT (-73.928814 40.693342),40.693342,-73.928814
J013R380,GATES AV,J30,J013,JZ,039700,Bushwick South,397,POINT (-73.92227 40.68963),40.68963,-73.92227
J016R381,HALSEY ST,J29,J016,J,039700,Bushwick South,397,POINT (-73.91655899999999 40.68637),40.686370000000004,-73.91655899999999
J017R432,CHAUNCEY ST,J28,J017,JZ,036900,Ocean Hill,369,POINT (-73.91045600000001 40.682893),40.682893,-73.91045600000001
J020R433,ALABAMA AV,J24,J020,J,119800,East New York,1198,POINT (-73.89865400000001 40.676992),40.676992,-73.89865400000001
J021R434,VAN SICLEN AV,J23,J021,JZ,119800,East New York,1198,POINT (-73.891688 40.678024),40.678024,-73.891688
J022R435,CLEVELAND ST,J22,J022,J,116800,East New York,1168,POINT (-73.88463900000001 40.679947),40.679947,-73.884639
J023R436,NORWOOD AV,J21,J023,JZ,117400,Cypress Hills-City Line,1174,POINT (-73.880039 40.68141),40.68141,-73.880039
J024R437,CRESCENT ST,J20,J024,JZ,117800,Cypress Hills-City Line,1178,POINT (-73.873785 40.683194),40.683194,-73.873785
J025R003,CYPRESS HILLS,J19,J025,J,118201,Cypress Hills-City Line,1182.01,POINT (-73.87255 40.689941),40.689941,-73.87255
J028R004,75 ST-ELDERTS,J17,J028,JZ,000400,Woodhaven,4,POINT (-73.86713899999999 40.691324),40.691324,-73.867139
J030R005,85 ST-FOREST PK,J16,J030,J,001200,Woodhaven,12,POINT (-73.86001 40.692435),40.692434999999996,-73.86001
J031R006,WOODHAVEN BLVD,J15,J031,JZ,002000,Woodhaven,20,POINT (-73.85157599999999 40.693879),40.693878999999995,-73.851576
J032R006,WOODHAVEN BLVD,J15,J032,JZ,002000,Woodhaven,20,POINT (-73.85157599999999 40.693879),40.693878999999995,-73.851576
J034R007,104 ST,J14,J034,JZ,002600,Richmond Hill,26,POINT (-73.84433 40.69517800000001),40.695178000000006,-73.84433
J035R008,111 ST,J13,J035,J,012400,Richmond Hill,124,POINT (-73.83634499999999 40.697418),40.697418,-73.836345
J037R009,121 ST,J12,J037,JZ,014400,Richmond Hill,144,POINT (-73.828294 40.700492),40.700492,-73.828294
JFK01R535,HOWARD BCH JFK,H03,JFK01,A,071600,Airport,716,POINT (-73.83030100000001 40.660476),40.660476,-73.830301
JFK02R535,HOWARD BCH JFK,H03,JFK02,A,071600,Airport,716,POINT (-73.83030100000001 40.660476),40.660476,-73.830301
JFK03R536,JFK JAMAICA CT1,G05,JFK03,E,024600,Jamaica,246,POINT (-73.801109 40.702147),40.702147,-73.801109
K017R401,CENTRAL AV,M10,K017,M,042300,Bushwick South,423,POINT (-73.927397 40.697857),40.697857,-73.927397
K019R413,KNICKERBOCKER,M09,K019,M,043100,Bushwick North,431,POINT (-73.91971099999999 40.698664),40.698664,-73.91971099999999
K022R402,SENECA AVE,M06,K022,M,054900,Ridgewood,549,POINT (-73.90774 40.702762),40.702762,-73.90774
K024R403,FOREST AVE,M05,K024,M,058900,Ridgewood,589,POINT (-73.903077 40.704423),40.704423,-73.903077
K025R404,FRESH POND RD,M04,K025,M,061301,Ridgewood,613.01,POINT (-73.895877 40.706186),40.706185999999995,-73.895877
K026R100,METROPOLITAN AV,M01,K026,M,061301,Ridgewood,613.01,POINT (-73.889601 40.711396),40.711396,-73.889601
N001R173,INWOOD-207 ST,A02,N001,A,029300,Marble Hill-Inwood,293,POINT (-73.919899 40.868072),40.868072,-73.919899
N002AR173,INWOOD-207 ST,A02,N002A,A,029300,Marble Hill-Inwood,293,POINT (-73.919899 40.868072),40.868072,-73.919899
N003R185,DYCKMAN ST,A03,N003,A,028700,Washington Heights North,287,POINT (-73.92727099999999 40.865491),40.865491,-73.92727099999999
N006AR280,190 ST,A05,N006A,A,028100,Washington Heights North,281,POINT (-73.93418 40.859022),40.859021999999996,-73.93418
N007AR174,181 ST,A06,N007A,A,027300,Washington Heights North,273,POINT (-73.937969 40.851695),40.851695,-73.937969
N009R174,181 ST,A06,N009,A,027300,Washington Heights North,273,POINT (-73.937969 40.851695),40.851695,-73.937969
